,type,location,price,area,link
52,Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","8,500,000",234 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-3338413.html
53,Villa,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4,900,000",165 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-taj-city-3429677.html
54,Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3,450,000",148 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-3366725.html
55,Apartment,"Al Vatican St., Zamalek, Cairo","20,000,000",300 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-zamalek-al-vatican-st-3261023.html
56,Villa,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo","775,000",240 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-3389936.html
57,Villa,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","7,700,000",327 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-3404486.html
58,Apartment,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","6,100,000",199 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-3370287.html
59,Townhouse,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo","3,700,000",245 ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-3164886.html
60,Apartment,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3,250,000",164 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-el-patio-oro-3421535.html
61,Apartment,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3,700,000",142 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-residence-3405042.html
62,Apartment,"El Banafseg 12, El Banafseg, New Cairo City, Cairo","3,600,000",250 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-el-banafseg-el-banafseg-12-3385764.html
63,Apartment,"Regents Park, Al Andalus District, New Cairo City, Cairo","3,500,000",188 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-al-andalus-district-regents-park-3392174.html
64,Apartment,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","2,550,000",152 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-sarai-3333142.html
